Location,Station,Date,avg_temp,avg_humid,avg_dew,avg_wind,avg_gust,precip
Big Creek Beach,KIAPOLKC7,2020-08-03,65.4,69,54.1,3.5,4.8,0
Big Creek Beach,KIAPOLKC12,2020-08-10,72.2,86,67.6,1.2,2.3,0
Big Creek Beach,KIAPOLKC7,2020-08-17,76.4,64,62.8,6.1,8.4,0
Big Creek Beach,KIAPOLKC7,2020-08-24,84.5,67,71.3,1.8,2.7,0
Big Creek Beach,KIAPOLKC7,2020-08-31,63.1,68,51.7,1.2,2,0
Black Hawk Beach,KIAODEBO3,2018-07-17,73.4,72,63,0.4,1.7,0
Black Hawk Beach,KIAODEBO3,2018-08-07,71.5,86,66.6,0.2,1.4,0
Black Hawk Beach,KIAODEBO3,2018-06-26,68.5,89,64.9,0.4,2.4,0
Black Hawk Beach,KIAODEBO3,2018-07-24,71.7,71,60.6,0.1,0.9,0
Black Hawk Beach,KIAODEBO3,2018-07-10,79.9,79,72.7,0.5,2.4,0
Black Hawk Beach,KIAODEBO3,2018-08-27,82.1,79,74.7,1.4,5.7,0
Black Hawk Beach,KIAODEBO3,2018-06-12,69,96,67.6,0.2,1,0.01
Black Hawk Beach,KIAODEBO3,2018-08-20,64.4,99,64,3.7,9.2,0
Black Hawk Beach,KIAODEBO3,2018-08-14,76.4,82,70.5,0.3,2.1,0
Black Hawk Beach,KIAODEBO3,2018-05-22,71.4,74,62.3,1.8,5.9,0
Black Hawk Beach,KIAODEBO3,2018-07-02,72.8,78,65.3,1.8,6.4,0
Black Hawk Beach,KIAODEBO3,2018-06-19,71.4,94,69.6,0.3,2.2,0
Black Hawk Beach,KIAODEBO3,2018-05-29,75.4,72,64.7,1,3.9,0
Black Hawk Beach,KIAODEBO3,2018-06-05,75,62,59.9,1.2,6,0
Black Hawk Beach,KIAODEBO3,2018-07-31,70.3,74,60.5,0.1,0.9,0
Black Hawk Beach,KIAODEBO3,2019-06-25,71.5,70,59.9,0.4,2.7,0
Black Hawk Beach,KIAODEBO3,2019-07-01,79.7,77,71.4,0.9,4.5,0
Black Hawk Beach,KIAODEBO3,2019-07-09,76.4,80,69.3,1.2,5,0
Black Hawk Beach,KIAODEBO3,2019-07-16,77.1,83,71.1,0.4,2.6,0
Black Hawk Beach,KIAODEBO3,2019-07-23,67.5,70,56.5,0.1,1.3,0
Black Hawk Beach,KIAODEBO3,2019-07-30,65.3,81,58.9,0.2,1.5,0
Black Hawk Beach,KIAODEBO3,2019-08-06,73.1,75,63.7,0.1,1.2,0
Black Hawk Beach,KIAODEBO3,2019-08-20,74.8,90,71.4,1,3.3,0
Black Hawk Beach,KIAODEBO3,2019-08-27,63.9,73,54.3,0.7,3.2,0
Black Hawk Beach,KIAODEBO3,2019-08-13,73.6,79,65.8,0.2,1.6,0
Brushy Creek Beach,KIALEHIG3,2018-08-20,66.6,99,66.3,2.4,3.4,5.93
Brushy Creek Beach,KIALEHIG3,2018-08-07,71.9,88,67.8,0.8,1.2,0
Brushy Creek Beach,KIALEHIG3,2018-08-27,81.2,84,75.7,3.8,5.9,0
Brushy Creek Beach,KIALEHIG3,2018-08-14,74.1,87,70,0.3,0.7,0
Brushy Creek Beach,KIALEHIG3,2018-05-22,62.3,93,60.1,0.2,0.2,0
Brushy Creek Beach,KIALEHIG3,2018-06-12,79.7,76,70.9,0.9,1.4,0
Brushy Creek Beach,KIALEHIG3,2018-07-24,73.2,74,63,1,1.5,0
Brushy Creek Beach,KIALEHIG3,2018-07-02,72.6,81,66,2,3,0
Brushy Creek Beach,KIALEHIG3,2018-06-05,79.2,59,62,3.2,4.6,0
Brushy Creek Beach,KIALEHIG3,2018-06-26,70,89,66.4,1.2,2.2,0
Brushy Creek Beach,KIALEHIG3,2018-05-29,76,78,67.3,1.7,3.1,0
Brushy Creek Beach,KIALEHIG3,2018-06-19,74.2,92,71.5,0.8,1.4,0
Brushy Creek Beach,KIALEHIG3,2018-07-31,72.4,75,62.5,0.6,1,0
Brushy Creek Beach,KIALEHIG3,2018-07-17,72.9,78,64.2,0.2,0.4,0
Brushy Creek Beach,KIALEHIG3,2018-07-10,80.5,83,74.7,0.4,0.7,0
Brushy Creek Beach,KIALEHIG3,2019-06-25,72.3,99,72,2.2,3.4,0.14
Brushy Creek Beach,KIALEHIG3,2019-07-01,81.8,99,80.8,2.3,3.5,0
Brushy Creek Beach,KIALEHIG3,2019-07-09,76.1,99,75.8,2.4,3,0.06
Brushy Creek Beach,KIALEHIG3,2019-07-16,77.4,99,77.1,1.3,1.6,0.14
Brushy Creek Beach,KIALEHIG3,2019-07-23,68.3,99,68,0.4,0.8,0
Brushy Creek Beach,KIALEHIG3,2019-07-30,66.7,99,66.4,0.4,0.8,0
Brushy Creek Beach,KIALEHIG3,2019-08-06,73.3,99,73,0.6,1.2,0.01
Brushy Creek Beach,KIALEHIG3,2019-08-20,75.7,99,75.4,1.5,2.3,0.26
Brushy Creek Beach,KIALEHIG3,2019-08-27,64.4,99,64.1,2.8,4.1,0
Brushy Creek Beach,KIALEHIG3,2019-08-13,74.5,99,74.2,0.7,1.1,0
Brushy Creek Beach,KIALEHIG3,2020-05-19,57.4,99,57.1,2.2,2.9,0
Brushy Creek Beach,KIALEHIG3,2020-05-26,69.3,99,69,1.2,1.9,1.08
Brushy Creek Beach,KIALEHIG3,2020-06-02,81.5,99,77.3,4.9,7,0
Brushy Creek Beach,KIALEHIG3,2020-06-09,71.8,99,71.5,1.3,1.8,0.2
Brushy Creek Beach,KIALEHIG3,2020-06-16,77.8,99,76.9,2,3.5,0
Brushy Creek Beach,KIALEHIG3,2020-06-23,64.9,99,64.6,1.1,1.8,0
Brushy Creek Beach,KIALEHIG3,2020-06-30,75.3,99,75,1,1.4,0
Brushy Creek Beach,KIALEHIG3,2020-07-07,78.6,99,75.5,1.1,1.7,0
Brushy Creek Beach,KIALEHIG3,2020-07-15,69.5,99,69.2,0.9,1.6,0.22
Brushy Creek Beach,KIALEHIG3,2020-07-21,72.9,99,72.6,1,1.5,0.28
Brushy Creek Beach,KIALEHIG3,2020-07-28,73.5,99,72.9,2.9,3.9,0
Brushy Creek Beach,KIALEHIG3,2020-08-04,64.7,99,64.4,0.5,0.9,0
Brushy Creek Beach,KIALEHIG3,2020-08-11,66.6,99,66.3,0.5,0.9,0
Brushy Creek Beach,KIALEHIG3,2020-08-17,71.4,99,71.1,1.5,2.6,0
Brushy Creek Beach,KIALEHIG3,2020-08-24,82.5,99,77.4,1.9,2.8,0
Brushy Creek Beach,KIALEHIG3,2020-08-31,70.5,99,70.2,1.9,3.2,0
Clear Lake Beach,KIAVENTU2,2018-08-29,61,83,55.3,1.1,4.7,0.01
Clear Lake Beach,KIAVENTU2,2018-08-15,75.7,86,70.8,0.8,3.1,0
Clear Lake Beach,KIAVENTU2,2018-08-22,64.5,77,55.9,0.5,2.8,0.01
Clear Lake Beach,KIAVENTU2,2018-08-08,72.7,87,68.2,1.4,4.2,0.01
Clear Lake Beach,KIAVENTU2,2018-07-11,80.7,79,73.5,1.5,4.6,0
Clear Lake Beach,KIAVENTU2,2018-06-13,69.2,64,54.8,1.1,4.8,0
Clear Lake Beach,KIAVENTU2,2018-07-25,71.3,83,65.2,2.4,6.4,0.1
Clear Lake Beach,KIAVENTU2,2018-08-01,69.7,84,64.2,2,5.9,0.01
Clear Lake Beach,KIAVENTU2,2018-06-27,72,87,67.5,1.2,3.9,0.01
Clear Lake Beach,KIAVENTU2,2018-07-03,83.4,80,76.4,1.7,4.8,0
Clear Lake Beach,KIAVENTU2,2018-06-06,75.7,75,66.3,3,7.9,0.06
Clear Lake Beach,KIAVENTU2,2018-05-23,73.6,82,67.2,1.4,4.8,0.91
Clear Lake Beach,KIAVENTU2,2018-05-30,72.2,85,67.2,2.6,7.9,0.08
Clear Lake Beach,KIAVENTU2,2018-07-18,76.8,71,66.4,0.9,4.3,0
Clear Lake Beach,KIAVENTU2,2018-06-20,70.6,99,70.1,4.3,12,3.41
Clear Lake Beach,KIAVENTU2,2019-06-25,70.9,73,60.6,0.3,3.9,0.03
Clear Lake Beach,KIAVENTU2,2019-07-01,78.1,83,72.2,0,1.2,0
Clear Lake Beach,KIAVENTU2,2019-07-09,75.2,84,69.8,0.1,1.8,0.27
Clear Lake Beach,KIAVENTU2,2019-07-16,75.2,89,71.7,0.1,1.7,0.34
Clear Lake Beach,KIAVENTU2,2019-07-23,68,75,59.1,0,0.5,0
Clear Lake Beach,KIAVENTU2,2019-07-30,66.1,74,56.8,0,0,0
Clear Lake Beach,KIAVENTU2,2019-08-06,73.1,80,65.6,0,0.1,0.01
Clear Lake Beach,KIAVENTU2,2019-08-20,75.5,86,70.7,0.1,1.2,0.13
Clear Lake Beach,KIAVENTU2,2019-08-27,68.1,68,56.4,3.6,7.1,0
Clear Lake Beach,KIAVENTU2,2019-08-13,72.4,85,67.2,0,1.3,0
Clear Lake Beach,KIAVENTU2,2020-05-20,60.2,88,56.6,4,7.1,0
Clear Lake Beach,KIAVENTU2,2020-05-27,71.6,90,68.2,2.1,3.9,0
Clear Lake Beach,KIAVENTU2,2020-06-03,75.2,68,61.6,2,3.8,0.01
Clear Lake Beach,KIAVENTU2,2020-06-10,64.1,74,54.5,8,14.7,0.07
Clear Lake Beach,KIAVENTU2,2020-06-17,75.6,64,62.5,2.5,4.5,0
Clear Lake Beach,KIAVENTU2,2020-06-24,68.9,73,58.8,2.1,4,0.01
Clear Lake Beach,KIAVENTU2,2020-06-30,77.3,83,71.4,2.8,5.5,0
Clear Lake Beach,KIAVENTU2,2020-07-08,84.5,77,75.6,0.8,2.2,0
Clear Lake Beach,KIAVENTU2,2020-07-14,73.9,82,67.8,2.8,5.4,0
Clear Lake Beach,KIAVENTU2,2020-07-22,68,81,61.4,2.4,4.7,0
Clear Lake Beach,KIAVENTU2,2020-07-29,75.6,73,65.6,2.6,4.3,0
Clear Lake Beach,KIAVENTU2,2020-08-05,65.3,76,57.3,1.1,2.5,0
Clear Lake Beach,KIAVENTU2,2020-08-12,72.3,85,67.5,2.1,4.3,0
Clear Lake Beach,KIAVENTU2,2020-08-19,70.3,75,61,0.9,2.2,0
Clear Lake Beach,KIAVENTU2,2020-08-26,78.9,76,70.1,2.4,4.8,0
Clear Lake Beach,KIAVENTU2,2020-09-02,69.8,71,57.8,1.9,3.7,0.01
Crandall's Beach,KIAESTHE8,2018-08-27,74.7,92,72.2,7.6,13.3,0
Crandall's Beach,KIASPIRI1,2018-08-08,75.3,73,65.5,0.9,4.9,0
Crandall's Beach,KIASPIRI1,2018-08-20,65.3,88,61.7,5.6,19.6,0.51
Crandall's Beach,KIASPIRI1,2018-08-15,72.6,79,65.7,1.6,4.6,0.05
Crandall's Beach,KIASPIRI1,2018-08-01,67.8,71,57.9,3.4,7.7,0.03
Crandall's Beach,KIASPIRI1,2018-07-25,71.5,69,60.7,2.3,6.6,0.08
Crandall's Beach,KIASPIRI1,2018-07-03,0,0,0,0,18,0
Crandall's Beach,KIASPIRI1,2018-07-11,83.5,73,73.5,2.1,6.2,0
Crandall's Beach,KIAESTHE8,2018-06-27,71.2,91,68.3,3.1,5.6,0
Crandall's Beach,KIASPIRI1,2018-07-18,74.9,63,61.2,1.5,6.1,0
Crandall's Beach,KIASPIRI1,2018-06-20,65.2,99,64.9,4,10.9,0
Crandall's Beach,KIASPIRI1,2018-05-23,73.7,70,62.9,4.1,11.9,0
Crandall's Beach,KIASPIRI1,2018-06-06,76,66,63.3,3,8.1,0
Crandall's Beach,KIASPIRI1,2018-06-13,68.3,52,46.8,0.9,3.8,0
Crandall's Beach,KIASPIRI1,2018-05-30,69.2,80,62.4,0.5,2.7,0
Crandall's Beach,KIASPIRI1,2019-07-17,74,60,59,1.5,5,0.98
Crandall's Beach,KIASPIRI1,2019-08-14,65.8,83,60.5,2.7,5.6,0
Crandall's Beach,KIASPIRI1,2019-06-26,75,49,53.9,1.2,3.3,0
Crandall's Beach,KIASPIRI1,2019-07-02,75.9,57,59.1,1.6,4.2,0.03
Crandall's Beach,KIASPIRI1,2019-07-10,71,55,53.9,4.7,10.7,0
Crandall's Beach,KIASPIRI1,2019-07-24,70.2,78,62.7,1.5,4,0
Crandall's Beach,KIASPIRI1,2019-07-31,68.1,82,62.4,2.2,5.4,0.02
Crandall's Beach,KIASPIRI1,2019-08-07,75.8,78,68.2,1.9,4.8,0
Crandall's Beach,KIASPIRI1,2019-08-21,66.5,80,59.9,1.9,3.8,0
Crandall's Beach,KIASPIRI1,2019-08-28,64.1,77,56.2,3.7,7.9,0
Crandall's Beach,KIASPIRI1,2020-05-19,54.7,78,47.8,0,0,0
Crandall's Beach,KIASPIRI1,2020-05-26,62,69,51.8,4.9,6.6,0.61
Crandall's Beach,KIASPIRI1,2020-06-02,79.4,74,69.8,4.8,7.6,0.39
Crandall's Beach,KIAESTHE8,2020-06-09,72.8,58,56.8,7.1,12.5,0.23
Crandall's Beach,KIASPIRI1,2020-06-16,79.2,76,70.3,8.1,11.2,0
Crandall's Beach,KIASPIRI1,2020-06-23,65,79,58.1,6.3,8.3,0
Crandall's Beach,KIASPIRI1,2020-06-29,76.3,75,67.7,5.1,7.6,0.03
Crandall's Beach,KIASPIRI1,2020-07-07,77.6,69,66.3,2.5,4.1,0
Crandall's Beach,KIASPIRI1,2020-07-14,72.1,73,62.7,6.5,8.9,0
Crandall's Beach,KIASPIRI1,2020-07-21,72.1,73,63,4.8,6.6,0
Crandall's Beach,KIASPIRI1,2020-07-28,75.8,73,66.4,3.5,5.5,0
Crandall's Beach,KIASPIRI1,2020-08-03,67.9,63,54.8,3.2,5,0
Crandall's Beach,KIASPIRI1,2020-08-10,68.8,69,58.1,4.7,6.5,0.08
Crandall's Beach,KIASPIRI1,2020-08-18,69.6,66,57.2,1.6,2.6,0
Crandall's Beach,KIASPIRI1,2020-08-25,82,64,68.2,3.7,5.6,0
Crandall's Beach,KIASPIRI1,2020-09-02,72.3,55,53.8,3.7,5.6,0
Denison Beach,KIAODEBO3,2018-05-29,75.4,72,64.7,1,3.9,0
Denison Beach,KIAODEBO3,2018-07-17,73.4,72,63,0.4,1.7,0
Denison Beach,KIAODEBO3,2018-07-24,71.7,71,60.6,0.1,0.9,0
Denison Beach,KIAODEBO3,2018-06-12,69,96,67.6,0.2,1,0.01
Denison Beach,KIAODEBO3,2018-06-05,75,62,59.9,1.2,6,0
Denison Beach,KIAODEBO3,2018-06-19,71.4,94,69.6,0.3,2.2,0
Denison Beach,KIAODEBO3,2018-07-10,79.9,79,72.7,0.5,2.4,0
Denison Beach,KIAODEBO3,2018-08-07,71.5,86,66.6,0.2,1.4,0
Denison Beach,KIAODEBO3,2018-07-31,70.3,74,60.5,0.1,0.9,0
Denison Beach,KIAODEBO3,2018-05-22,71.4,74,62.3,1.8,5.9,0
Denison Beach,KIAODEBO3,2018-06-26,68.5,89,64.9,0.4,2.4,0
Denison Beach,KIAODEBO3,2018-08-27,82.1,79,74.7,1.4,5.7,0
Denison Beach,KIAODEBO3,2018-08-20,64.4,99,64,3.7,9.2,0
Denison Beach,KIAODEBO3,2018-08-14,76.4,82,70.5,0.3,2.1,0
Denison Beach,KIAODEBO3,2018-07-02,72.8,78,65.3,1.8,6.4,0
Denison Beach,KIAODEBO3,2019-06-25,71.5,70,59.9,0.4,2.7,0
Denison Beach,KIAODEBO3,2019-07-01,79.7,77,71.4,0.9,4.5,0
Denison Beach,KIAODEBO3,2019-07-09,76.4,80,69.3,1.2,5,0
Denison Beach,KIAODEBO3,2019-07-16,77.1,83,71.1,0.4,2.6,0
Denison Beach,KIAODEBO3,2019-07-23,67.5,70,56.5,0.1,1.3,0
Denison Beach,KIAODEBO3,2019-07-30,65.3,81,58.9,0.2,1.5,0
Denison Beach,KIAODEBO3,2019-08-06,73.1,75,63.7,0.1,1.2,0
Denison Beach,KIAODEBO3,2019-08-20,74.8,90,71.4,1,3.3,0
Denison Beach,KIAODEBO3,2019-08-27,63.9,73,54.3,0.7,3.2,0
Denison Beach,KIAODEBO3,2019-08-13,73.6,79,65.8,0.2,1.6,0
Denison Beach,KIAODEBO3,2020-05-19,54.4,91,51.8,1,3.1,0
Denison Beach,KIAODEBO3,2020-05-26,64.7,99,64.5,0.6,2.1,0
Denison Beach,KIAODEBO3,2020-06-02,81.5,60,65.2,2.2,8.1,0
Denison Beach,KIAODEBO3,2020-06-09,73.7,74,64.6,1,3.4,0
Denison Beach,KIAODEBO3,2020-06-16,79.3,67,66.2,3.2,10.5,0
Denison Beach,KIAODEBO3,2020-06-23,65.2,72,55.5,0.3,1.8,0
Denison Beach,KIAODEBO3,2020-06-30,74.5,83,68.7,0.7,3,0
Denison Beach,KIAODEBO3,2020-07-07,77.8,75,68.8,0.3,2.2,0
Denison Beach,KIAODEBO3,2020-07-15,66.2,83,60.8,0.4,1.9,0
Denison Beach,KIAODEBO3,2020-07-21,73.6,79,66.4,0.2,1.8,0
Denison Beach,KIAODEBO3,2020-07-28,76.2,70,65.1,0.8,4.1,0
Denison Beach,KIAODEBO3,2020-08-04,64.1,71,53.7,0.2,1.6,0
